id_code	name_full	type_id	name_short	name_sort	attr_ref	modified_datetime_iso	is_deprecated	rib_taxonomy_id	related_count	notes	modified_user	uri_pattern	parent_id
3089	grafito indeterminado (consejos ? Instrucciones?)	3000	grafito indeterminado (consejos	grafito indeterminado (consejos ? Instrucciones?)		2024-08-01T00:39:21Z	True	0	0				0
3088	grafito indeterminado (ante coct.)	3000	grafito indeterminado (ante coc	grafito indeterminado (ante coct.)		2024-08-01T00:39:21Z	True	0	0				0
3087	grafito indeterminado	3000	grafito indeterminado	grafito indeterminado		2024-08-01T00:39:21Z	True	0	0				0
3086	grafito firma artesano ?	3000	grafito firma artesano ?	grafito firma artesano ?		2024-08-01T00:39:21Z	True	0	0				0
3085	grafito cerámico	3000	grafito cerámico	grafito cerámico		2024-08-01T00:39:21Z	True	0	0				0
3084	grafito ante coct. (exercicio?)	3000	grafito ante coct. (exercicio?)	grafito ante coct. (exercicio?)		2024-08-01T00:39:21Z	True	0	0				0
3083	grafito ante coct.	3000	grafito ante coct.	grafito ante coct.		2024-08-01T00:39:21Z	True	0	0				0
3082	grafito alfarero (lista)	3000	grafito alfarero (lista)	grafito alfarero (lista)		2024-08-01T00:39:21Z	True	0	0				0
3081	grafito alfarero (ante coct.)	3000	grafito alfarero (ante coct.)	grafito alfarero (ante coct.)		2024-08-01T00:39:21Z	True	0	0				0
3080	grafito alfarero	3000	grafito alfarero	grafito alfarero		2024-08-01T00:39:21Z	True	0	0				0
3079	grafito (regalo)	3000	grafito (regalo)	grafito (regalo)		2024-08-01T00:39:21Z	True	0	0				0
3078	grafito (objeto indeterminado)	3000	grafito (objeto indeterminado)	grafito (objeto indeterminado)		2024-08-01T00:39:21Z	True	0	0				0
3077	grafito (alfabeto)	3000	grafito (alfabeto)	grafito (alfabeto)		2024-08-01T00:39:21Z	True	0	0				0
3076	grafito - propiedad	3000	grafito - propiedad	grafito - propiedad		2024-08-01T00:39:21Z	True	0	0				0
3075	grafito	3000	grafito	grafito		2024-08-01T00:39:21Z	True	0	0				0
3074	Graffito on campanian ware	3000	Graffito on campanian ware	Graffito on campanian ware		2024-08-01T00:39:21Z	True	0	0				0
3073	Graffito	3000	Graffito	Graffito	https://www.eagle-network.eu/voc/typeins/lod/127	2025-09-24T14:55:31Z	False	0	2475				0
3072	Graffiti on skyphoi	3000	Graffiti on skyphoi	Graffiti on skyphoi		2024-08-01T00:39:21Z	True	0	0				0
3071	Graffiti on plaster	3000	Graffiti on plaster	Graffiti on plaster		2024-08-01T00:39:21Z	True	0	0				0
3070	Graffiti on ceramic	3000	Graffiti on ceramic	Graffiti on ceramic		2024-08-01T00:39:21Z	True	0	0				0
3069	Graffiti and dipinti	3000	Graffiti and dipinti	Graffiti and dipinti		2024-08-01T00:39:21Z	True	0	0				0
3068	Graffiti	3000	Graffiti	Graffiti		2024-08-01T00:39:21Z	True	0	0				0
3067	fusaiola	3000	fusaiola	fusaiola		2024-08-01T00:39:21Z	True	0	0				0
3066	Funerary epigram	3000	Funerary epigram	Funerary epigram		2024-08-01T00:39:21Z	True	0	0				0
3065	Funerary dedication?	3000	Funerary dedication?	Funerary dedication?		2024-08-01T00:39:21Z	True	0	0				0
3064	Funerary dedication	3000	Funerary dedication	Funerary dedication		2024-08-01T00:39:21Z	True	0	0				0
3063	funerario?	3000	funerario?	funerario?		2024-08-01T00:39:21Z	True	0	0				0
3062	funerario	3000	funerario	funerario		2024-08-01T00:39:21Z	True	0	0				0
3061	funeraria?	3000	funeraria?	funeraria?		2024-08-01T00:39:21Z	True	0	0				0
3060	funeraria ?	3000	funeraria ?	funeraria ?		2024-08-01T00:39:21Z	True	0	0				0
3059	Funerary	3000	Funerary	Funerary	https://www.eagle-network.eu/voc/typeins/lod/92	2025-02-14T19:34:18Z	False	17642	2441		Designer		0
3058	fragmento de abecedario griego	3000	fragmento de abecedario griego	fragmento de abecedario griego		2024-08-01T00:39:21Z	True	0	0				0
3057	ficha para identificar al portador	3000	ficha para identificar al porta	ficha para identificar al portador		2024-08-01T00:39:21Z	True	0	0				0
3056	fíbula	3000	fíbula	fíbula		2024-08-01T00:39:21Z	True	0	0				0
3055	Label	3000	Label	Label	https://www.eagle-network.eu/voc/typeins/lod/109	2025-09-26T07:16:09Z	False	17649	2008		Designer		0
3054	estampillado	3000	estampillado	estampillado		2024-08-01T00:39:21Z	True	0	0				0
3053	estampilla	3000	estampilla	estampilla		2024-08-01T00:39:21Z	True	0	0				0
3052	epitaph	3000	epitaph	epitaph		2024-08-01T00:39:21Z	True	0	0				0
3051	epitafio ?	3000	epitafio ?	epitafio ?		2024-08-01T00:39:21Z	True	0	0				0
3050	epitafio	3000	epitafio	epitafio		2024-08-01T00:39:21Z	True	0	0				0
3049	dipinto votivo	3000	dipinto votivo	dipinto votivo		2024-08-01T00:39:21Z	True	0	0				0
3048	desconocida	3000	desconocida	desconocida		2024-08-01T00:39:21Z	True	0	0				0
3047	defixio?	3000	defixio?	defixio?		2024-08-01T00:39:21Z	True	0	0				0
3046	defixio	3000	defixio	defixio		2024-08-01T00:39:21Z	True	0	0				0
3045	dedicatoria?	3000	dedicatoria?	dedicatoria?		2024-08-01T00:39:21Z	True	0	0				0
3044	dedicatoria a divinidad	3000	dedicatoria a divinidad	dedicatoria a divinidad		2024-08-01T00:39:21Z	True	0	0				0
3043	dedicatoria ?	3000	dedicatoria ?	dedicatoria ?		2024-08-01T00:39:21Z	True	0	0				0
3042	dedicatoria	3000	dedicatoria	dedicatoria	https://www.eagle-network.eu/voc/typeins/lod/88	2024-08-01T00:39:21Z	True	0	0				0
3041	Dedications (multiple texts)	3000	Dedications (multiple texts)	Dedications (multiple texts)		2024-08-01T00:39:21Z	True	0	0				0
3040	Dedication to mother goddesses and Dioscures	3000	Dedication to mother goddesses 	Dedication to mother goddesses and Dioscures		2024-08-01T00:39:21Z	True	0	0				0
3039	Dedication to Emperor	3000	Dedication to Emperor	Dedication to Emperor		2024-08-01T00:39:21Z	True	0	0				0
3038	Dedication to Dionysiac artists	3000	Dedication to Dionysiac artists	Dedication to Dionysiac artists		2024-08-01T00:39:21Z	True	0	0				0
3037	Dedication to Apollo and Artemis	3000	Dedication to Apollo and Artemi	Dedication to Apollo and Artemis		2024-08-01T00:39:21Z	True	0	0				0
3036	Dedication to a Greek god?	3000	Dedication to a Greek god?	Dedication to a Greek god?		2024-08-01T00:39:21Z	True	0	0				0
3035	Dedication on an ivory cover [mark of property?]	3000	Dedication on an ivory cover [m	Dedication on an ivory cover [mark of property?]		2024-08-01T00:39:21Z	True	0	0				0
3034	Dedication [Latin model]	3000	Dedication [Latin model]	Dedication [Latin model]		2024-08-01T00:39:21Z	True	0	0				0
3033	Dedicatory	3000	Dedicatory	Dedicatory		2024-08-01T00:39:21Z	True	0	0				0
3032	Decree	3000	Decree	Decree		2024-08-01T00:39:21Z	True	0	0				0
3031	Curse tablet	3000	Curse tablet	Curse tablet		2024-08-01T00:39:21Z	True	0	0				0
3030	cuenta alfarero	3000	cuenta alfarero	cuenta alfarero		2024-08-01T00:39:21Z	True	0	0				0
3029	Commercial text	3000	Commercial text	Commercial text		2024-08-01T00:39:21Z	True	0	0				0
3028	Citations of Metrodorus	3000	Citations of Metrodorus	Citations of Metrodorus		2024-08-01T00:39:21Z	True	0	0				0
3027	Citations of Epicurus	3000	Citations of Epicurus	Citations of Epicurus		2024-08-01T00:39:21Z	True	0	0				0
3026	Citations of Anacreon	3000	Citations of Anacreon	Citations of Anacreon		2024-08-01T00:39:21Z	True	0	0				0
3025	Christian epigram	3000	Christian epigram	Christian epigram		2024-08-01T00:39:21Z	True	0	0				0
3024	Captions for image	3000	Captions for image	Captions for image		2024-08-01T00:39:21Z	True	0	0				0
3023	Captions for fight scenes on a two-part mould	3000	Captions for fight scenes on a 	Captions for fight scenes on a two-part mould		2024-08-01T00:39:21Z	True	0	0				0
3022	Calendario	3000	Calendario	Calendario		2024-08-01T00:39:21Z	True	0	0				0
3021	brazalete (latin)	3000	brazalete (latin)	brazalete (latin)		2024-08-01T00:39:21Z	True	0	0				0
3020	Bilingual funerary dedication	3000	Bilingual funerary dedication	Bilingual funerary dedication		2024-08-01T00:39:21Z	True	0	0				0
3019	Bilingual dedication	3000	Bilingual dedication	Bilingual dedication		2024-08-01T00:39:21Z	True	0	0				0
3018	Base of a tripod?	3000	Base of a tripod?	Base of a tripod?		2024-08-01T00:39:21Z	True	0	0				0
3017	bajorelieve arco romano	3000	bajorelieve arco romano	Arch: low relief		2024-08-01T00:39:21Z	True	0	0				0
