id_code	xml_id	description	parent_taxonomy_id	parent_id	eagle_uri	sort_order	notes	old_id	latnow_attr_id	fair_epigraphy_uri	is_deprecated	wikidata_id
20270	material.metal.iron	Iron	RIB-material	20080		0		0	2096		False	Q677
20280	material.metal.lead	Lead	RIB-material	20080	https://www.eagle-network.eu/voc/material/lod/108	0		207	2147		False	Q708
20290	material.metal.pewter	Pewter	RIB-material	20080		0		208	2424		False	Q852372
20300	material.metal.silver	Silver	RIB-material	20080	https://www.eagle-network.eu/voc/material/lod/115	0		209	2252		False	Q1090
20310	material.metal.steel	Steel	RIB-material	20080		0		210	2425		False	Q11427
20320	material.metal.tin	Tin	RIB-material	20080		0		211	2301		False	Q1096
20330	material.metal.other	Other	RIB-material	20080		0		212	2174		False	Q11426
20340	material.metal.unknown	Unknown	RIB-material	20080		0		213	2174		False	Q11426
20350	material.mineral.chalcedony.bloodstone	Bloodstone	RIB-material	20370		0	Bloodstone (aka heliotrope) is a variety of chalcedony.	215	2427		False	Q430174
20360	material.mineral.carnelian	Carnelian	RIB-material	20090		0	also spelled Cornelian	216	2090		False	Q324369
20370	material.mineral.chalcedony	Chalcedony	RIB-material	20090		0		217	2428		False	Q170448
20380	material.mineral.crystal	Crystal	RIB-material	20090		0		218	2429		False	Q43533
20390	material.mineral.haematite	Haematite	RIB-material	20090		0		219	2404		False	Q103223
20400	material.mineral.jasper	Jasper	RIB-material	20090		0		220	2133		False	Q201175
20410	material.mineral.lapis_lazuli	Lapis lazuli	RIB-material	20090		0		221	2409		False	Q216798
20420	material.mineral.nicolo	Nicolo	RIB-material	20090		0		222	2430		False	Q99856719
20430	material.mineral.onyx	Onyx	RIB-material	20090		0		223	2195		False	Q180884
20440	material.mineral.other	Other Mineral	RIB-material	20090		0		0	2392		False	Q7946
20450	material.mineral.plasma	Plasma	RIB-material	20090		0	Plasma is a variety of chalcedony	224	2431		False	Q110671450
20460	material.mineral.prase	Prase	RIB-material	20090		0	Prase is a light green translucent variety of chalcedony	225	2432		False	Q11826936
20470	material.mineral.sard	Sard	RIB-material	20090		0		226	2433		False	Q4408563
20480	material.mineral.sardonyx	Sardonyx	RIB-material	20090		0		227	2418		False	Q3428905
20490	material.stone.basalt	Basalt	RIB-material	20100		0		229	2022		False	Q43338
20500	material.stone.chalk	Chalk	RIB-material	20100		0		230	2384		False	Q183670
20510	material.stone.dolerite	Dolerite	RIB-material	20100		0		231	2435		False	Q1235463
20520	material.stone.granite	Granite	RIB-material	20100		0		232	2113		False	Q41177
20530	material.stone.gritstone	Gritstone	RIB-material	20100		0		233	2125		False	Q1048392
20540	material.stone.lava	Lava	RIB-material	20100		0		235	2410		False	Q40157
20550	material.stone.limestone	Limestone	RIB-material	20100		0		237	2063		False	Q23757
20560	material.stone.marble	Marble	RIB-material	20100		0		242	2159		False	Q40861
20570	material.stone.tesserae	Tesserae stone	RIB-material	20100		0		244	2258		False	
20580	material.stone.mudstone	Mudstone	RIB-material	20100		0		245	2191		False	Q6642424
20590	material.stone.sandstone	Sandstone	RIB-material	20100		0		246	2245		False	Q13085
20600	material.stone.schist	Schist	RIB-material	20100		0		253	2220		False	Q15315
20610	material.stone.shale	Shale	RIB-material	20100		0		254	2436		False	Q751300
20620	material.stone.siltstone	Siltstone	RIB-material	20100		0		255	2437		False	Q565731
20630	material.stone.slate	Slate	RIB-material	20100		0		256	2253		False	Q207079
20640	material.stone.soapstone	Soapstone	RIB-material	20100		0		257	2254		False	Q707896
20650	material.stone.steatite	Steatite	RIB-material	20100		0		258	2255		False	Q18364120
20660	material.ceramic.rhenish	Rhenishware	RIB-material	20020		0		0	2313		False	Q132304941
20670	material.stone.travertine	Travertine	RIB-material	20100		0		260	2137		False	Q187156
20680	material.stone.tufa	Tufa	RIB-material	20100		0	Wikidata has 'tufa' as calcareous sinter (Q1362288), also as synonyms of volcanic tuff and calcareous tuff.	261	2426		False	
20690	material.stone.tuff	Tuff	RIB-material	20100		0		262	2281		False	
20700	material.stone.other	Other	RIB-material	20100		0		263	2258		False	Q22731
20710	material.stone.unknown	Unknown	RIB-material	20100		0		264	2258		False	
20720	material.stone.gritstone.buff	Buff gritstone	RIB-material	20530		0		234	2125		False	Q1048392
20730	material.stone.lava.niedermendig	Niedermendig Lava	RIB-material	20540		0		236	2410		False	Q132303611
20740	material.stone.limestone.buff	Buff limestone	RIB-material	20550		0		238	2386		False	Q23757
20750	material.stone.limestone.magnesian	Magnesian limestone	RIB-material	20550		0		239	2387		False	Q6731360
20760	material.stone.limestone.oolitic	Oolitic limestone	RIB-material	20550		0		240	2199		False	Q12136017
20770	material.stone.limestone.purbeck	Purbeck marble	RIB-material	20550		0	Not actually marble, but a fossiliferous limestone	241	2235		False	Q2118764
20780	material.stone.marble.white	White marble	RIB-material	20560		0		243	2412		False	Q117052968
20790	material.stone.sandstone.buff	Buff sandstone	RIB-material	20590		0		247	2245		False	Q13085
