id_code	name	variant_type	parent_table_id	parent_id	certainty_id	language_attribute_id	related_entity_id	notes
163	Vicus Contiomagus	101	94	1172	1	1050	0	
164	Pons Saravi	101	94	1211	1	1050	0	
165	Pons Sarvix	101	94	1211	1	1050	0	
166	Decempagi	101	94	1216	1	1050	0	
167	Ad Decem Pagos	101	94	1216	1	1050	0	
168	Marosallum	101	94	1217	1	1050	0	
169	Nasium	101	94	1225	1	1050	0	
170	Caturicis	101	94	1226	1	1050	0	
171	Caturices	101	94	1226	1	1050	0	
172	Le Châtelet-sur-Meuse	102	94	1229	1	1400	0	
173	Rigodulum	101	94	1260	1	1050	0	
174	Filena	101	94	1270	1	1050	0	
175	Vertillum	101	94	1289	-1	1050	0	
176	Vicus Belgica	101	94	1301	1	1050	0	
30172	Ellingen	102	94	1302	1	1902	0	
178	Widdenberg	102	94	1303	1	1902	0	
179	Feresne	101	94	1314	1	1050	0	
180	Vodgoriacum	101	94	1329	1	1050	0	
181	Fentsch	102	94	1342	1	1400	0	
182	Dampierre	301	94	1352	1	1400	0	
183	Montperreux	301	94	1353	1	1400	0	
184	Minariacum	101	94	1359	1	1050	0	
185	Calembourg	102	94	1370	1	1400	0	
186	Laumesfeld	301	94	1370	1	1400	0	
187	Lintomagus	101	94	1397	1	1050	0	
188	Vals-des-Tilles	102	94	1405	1	1400	0	
189	Compendium	101	94	1417	1	1050	0	
190	Houtain-l'Évêque	102	94	1420	1	1400	0	
191	Vicani Suromagieses	101	94	1436	1	1050	0	
192	Suromagus	101	94	1436	1	1050	0	
193	Viromandis	101	94	1440	1	1050	0	
194	Trier	302	94	1449	1	1400	0	
195	Catusiacum	101	94	1456	1	1050	0	
196	Verbinum	101	94	1474	1	1050	0	
197	Vironum	101	94	1474	1	1050	0	
198	Segobodium	101	94	1480	1	1050	0	
199	Helmsingen	102	94	1482	1	1400	0	
200	Caranusca	101	94	1510	1	1050	0	
201	Ad Duodecimum	101	94	1533	1	1050	0	
202	Pétange	102	94	1537	1	1400	0	
203	Camaracum	101	94	1579	1	1050	0	
204	Noviomagus	101	94	1661	1	1050	0	
205	Hermoniacum	101	94	1674	1	1050	0	
206	Bermerein	102	94	1674	1	1400	0	
207	Castellum	101	94	1681	1	1050	0	
208	Pontes Caldis	101	94	1684	1	1050	0	
209	Epoissum	101	94	1735	1	1050	0	
210	Great Britain	102	94	1748	1	1400	0	
211	Grossbritannien	102	94	1748	1	1400	0	
212	Britannia	101	94	1748	1	1050	0	
213	Albion	101	94	1748	1	1050	0	
214	Isca Silurum	101	94	1751	1	1050	0	
215	Caesaromagus	101	94	1753	1	1050	0	
216	Baromacus	101	94	1753	1	1050	0	
217	Manduesedum	101	94	1757	1	1050	0	
218	Maltby	301	94	1761	1	1400	0	
219	Ratae	101	94	1762	1	1050	0	
220	Banna	101	94	1764	1	1050	0	
221	Chesterholm	102	94	1766	1	1400	0	
222	Londinium	101	94	1769	1	1050	0	
223	Crewe	301	94	1776	1	1400	0	
224	Arbeia	101	94	1778	1	1050	0	
225	Aquae Sulis	101	94	1781	1	1050	0	
226	Bovium	101	94	1788	1	1050	0	
227	Causennae	101	94	1789	-1	1050	0	
228	Bremesio	101	94	1791	1	1050	0	
229	Luguvalium	101	94	1792	1	1050	0	
230	Coria	101	94	1793	1	1050	0	
231	Wolverton	301	94	1797	1	1400	0	
232	Colania	101	94	1802	1	1050	0	
233	Alauna	101	94	1804	1	1050	0	
234	Salinae	101	94	1805	1	1050	0	
235	Viroconium	101	94	1806	1	1050	0	
236	Venta Icenorum	101	94	1807	1	1050	0	
237	Lowborrowbridge	102	94	1809	1	1400	0	
238	Vinovia	101	94	1810	1	1050	0	
239	Blatobulgium	101	94	1812	1	1050	0	
240	Vectis	101	94	1813	1	1050	0	
241	Vecta	101	94	1813	1	1050	0	
242	Mictis	101	94	1813	1	1050	0	
243	Duroliponte	101	94	1815	1	1050	0	
244	Durcinate	101	94	1815	1	1050	0	
245	Durovigutum	101	94	1816	1	1050	0	
246	Bremenium	101	94	1817	1	1050	0	
247	Cataractonium	101	94	1818	1	1050	0	
248	Longovicium	101	94	1819	1	1050	0	
249	Lagentium	101	94	1820	1	1050	0	
250	Lavatris	101	94	1821	1	1050	0	
251	Levatris	101	94	1821	1	1050	0	
252	Eburacum	101	94	1822	1	1050	0	
253	Glevum	101	94	1824	1	1050	0	
254	Durovernum	101	94	1826	1	1050	0	
255	Rutupiae	101	94	1827	1	1050	0	
256	Lemanis	101	94	1828	1	1050	0	
257	Calleva	101	94	1829	1	1050	0	
258	Venta Belgarum	101	94	1830	1	1050	0	
259	Noviomagus	101	94	1831	1	1050	0	
260	Clausentum	101	94	1832	1	1050	0	
261	Andover	301	94	1833	1	1400	0	
262	Corinium	101	94	1836	1	1050	0	
263	Cironium Dobunorum	101	94	1836	1	1050	0	
264	Bisley	301	94	1840	1	1400	0	
265	Keynsham	301	94	1847	1	1400	0	
266	Iscalis	101	94	1849	1	1050	0	
267	Camulodunum	101	94	1851	1	1050	0	
268	Baldock	301	94	1855	1	1400	0	
269	Verulamium	101	94	1856	1	1050	0	
270	Durobrivae	101	94	1859	1	1050	0	
271	Woodeaton	102	94	1862	1	1400	0	
272	Lindum	101	94	1865	1	1050	0	
273	Foss Dyke	102	94	1866	1	1400	0	
274	Segelocum	101	94	1868	1	1050	0	
275	Agelocum	101	94	1868	1	1050	0	
276	Zerdotalia	101	94	1870	1	1050	0	
277	Navio	101	94	1871	1	1050	0	
278	Etocetum	101	94	1872	1	1050	0	
279	Lectocetum	101	94	1872	1	1050	0	
280	Lichfield	301	94	1872	1	1400	0	
281	Venta Silurum	101	94	1876	1	1050	0	
282	Caerleon	301	94	1877	1	1400	0	
283	Burrium	101	94	1878	1	1050	0	
284	Bremia	101	94	1883	1	1050	0	
285	Moridunum	101	94	1884	1	1050	0	
286	Segontium	101	94	1888	1	1050	0	
287	Caernarvon	102	94	1888	1	1400	0	
288	Canovium	101	94	1889	1	1050	0	
289	Deva	101	94	1891	1	1050	0	
290	Mamucium	101	94	1893	1	1050	0	
291	Bremetennacum	101	94	1895	1	1050	0	
292	L( )	101	94	1896	1	1050	0	
293	Galacum	101	94	1897	1	1050	0	
294	Doncaster	102	94	1899	1	1400	0	
295	Templeborough	102	94	1900	1	1400	0	
296	Cambodunum	101	94	1902	-1	1050	0	
297	Outlane	301	94	1902	1	1400	0	
298	Verbeia	101	94	1905	1	1050	0	
299	Petuaria	101	94	1906	1	1050	0	
300	Isurium	101	94	1907	1	1050	0	
301	Malton	102	94	1908	1	1400	0	
302	Eastness	102	94	1909	1	1400	0	
303	Virosidum	101	94	1911	1	1050	0	
304	Alauna	101	94	1912	1	1050	0	
305	Galava	101	94	1913	1	1050	0	
306	Verteris	101	94	1914	1	1050	0	
307	Braboniacum	101	94	1915	1	1050	0	
308	Brauniacum	101	94	1915	1	1050	0	
309	Brovonacis	101	94	1915	1	1050	0	
310	Ravonia	101	94	1915	1	1050	0	
